,RunId,iteration,Step,init_people,rich_threshold,reserve_percent,Rich,Poor,Middle Class,Savings,Wallets,Money,Loans,Model Params,Run,AgentID,Wealth
82,2,0,1000,100,5,5,47,46,6,2568,7,2575,2236,"(100, 5, 5)",3,32,-22
83,2,0,1000,100,5,5,47,46,6,2568,7,2575,2236,"(100, 5, 5)",3,33,-40
84,2,0,1000,100,5,5,47,46,6,2568,7,2575,2236,"(100, 5, 5)",3,34,51
85,2,0,1000,100,5,5,47,46,6,2568,7,2575,2236,"(100, 5, 5)",3,35,-11
86,2,0,1000,100,5,5,47,46,6,2568,7,2575,2236,"(100, 5, 5)",3,36,7
87,2,0,1000,100,5,5,47,46,6,2568,7,2575,2236,"(100, 5, 5)",3,37,-12
88,2,0,1000,100,5,5,47,46,6,2568,7,2575,2236,"(100, 5, 5)",3,38,-13
89,2,0,1000,100,5,5,47,46,6,2568,7,2575,2236,"(100, 5, 5)",3,39,56
90,2,0,1000,100,5,5,47,46,6,2568,7,2575,2236,"(100, 5, 5)",3,40,29
91,2,0,1000,100,5,5,47,46,6,2568,7,2575,2236,"(100, 5, 5)",3,41,-22
92,2,0,1000,100,5,5,47,46,6,2568,7,2575,2236,"(100, 5, 5)",3,42,35
93,2,0,1000,100,5,5,47,46,6,2568,7,2575,2236,"(100, 5, 5)",3,43,-37
94,2,0,1000,100,5,5,47,46,6,2568,7,2575,2236,"(100, 5, 5)",3,44,-132
95,2,0,1000,100,5,5,47,46,6,2568,7,2575,2236,"(100, 5, 5)",3,45,-34
96,2,0,1000,100,5,5,47,46,6,2568,7,2575,2236,"(100, 5, 5)",3,46,43
97,2,0,1000,100,5,5,47,46,6,2568,7,2575,2236,"(100, 5, 5)",3,47,-26
98,2,0,1000,100,5,5,47,46,6,2568,7,2575,2236,"(100, 5, 5)",3,48,-17
99,2,0,1000,100,5,5,47,46,6,2568,7,2575,2236,"(100, 5, 5)",3,49,-33
100,2,0,1000,100,5,5,47,46,6,2568,7,2575,2236,"(100, 5, 5)",3,50,-64
101,2,0,1000,100,5,5,47,46,6,2568,7,2575,2236,"(100, 5, 5)",3,51,68
102,2,0,1000,100,5,5,47,46,6,2568,7,2575,2236,"(100, 5, 5)",3,52,-12
103,2,0,1000,100,5,5,47,46,6,2568,7,2575,2236,"(100, 5, 5)",3,53,-33
104,2,0,1000,100,5,5,47,46,6,2568,7,2575,2236,"(100, 5, 5)",3,54,32
105,2,0,1000,100,5,5,47,46,6,2568,7,2575,2236,"(100, 5, 5)",3,55,13
106,2,0,1000,100,5,5,47,46,6,2568,7,2575,2236,"(100, 5, 5)",3,56,98
107,2,0,1000,100,5,5,47,46,6,2568,7,2575,2236,"(100, 5, 5)",3,57,-21
108,2,0,1000,100,5,5,47,46,6,2568,7,2575,2236,"(100, 5, 5)",3,58,31
109,2,0,1000,100,5,5,47,46,6,2568,7,2575,2236,"(100, 5, 5)",3,59,6
110,2,0,1000,100,5,5,47,46,6,2568,7,2575,2236,"(100, 5, 5)",3,60,-52
111,2,0,1000,100,5,5,47,46,6,2568,7,2575,2236,"(100, 5, 5)",3,61,-63
112,2,0,1000,100,5,5,47,46,6,2568,7,2575,2236,"(100, 5, 5)",3,62,-25
113,2,0,1000,100,5,5,47,46,6,2568,7,2575,2236,"(100, 5, 5)",3,63,78
114,2,0,1000,100,5,5,47,46,6,2568,7,2575,2236,"(100, 5, 5)",3,64,-10
115,2,0,1000,100,5,5,47,46,6,2568,7,2575,2236,"(100, 5, 5)",3,65,11
116,2,0,1000,100,5,5,47,46,6,2568,7,2575,2236,"(100, 5, 5)",3,66,-74
117,2,0,1000,100,5,5,47,46,6,2568,7,2575,2236,"(100, 5, 5)",3,67,-17
118,2,0,1000,100,5,5,47,46,6,2568,7,2575,2236,"(100, 5, 5)",3,68,61
119,2,0,1000,100,5,5,47,46,6,2568,7,2575,2236,"(100, 5, 5)",3,69,56
120,2,0,1000,100,5,5,47,46,6,2568,7,2575,2236,"(100, 5, 5)",3,70,-50
121,2,0,1000,100,5,5,47,46,6,2568,7,2575,2236,"(100, 5, 5)",3,71,65
122,2,0,1000,100,5,5,47,46,6,2568,7,2575,2236,"(100, 5, 5)",3,72,8
123,2,0,1000,100,5,5,47,46,6,2568,7,2575,2236,"(100, 5, 5)",3,73,159
124,2,0,1000,100,5,5,47,46,6,2568,7,2575,2236,"(100, 5, 5)",3,74,131
125,2,0,1000,100,5,5,47,46,6,2568,7,2575,2236,"(100, 5, 5)",3,75,-59
126,2,0,1000,100,5,5,47,46,6,2568,7,2575,2236,"(100, 5, 5)",3,76,84
127,2,0,1000,100,5,5,47,46,6,2568,7,2575,2236,"(100, 5, 5)",3,77,-7
128,2,0,1000,100,5,5,47,46,6,2568,7,2575,2236,"(100, 5, 5)",3,78,-97
129,2,0,1000,100,5,5,47,46,6,2568,7,2575,2236,"(100, 5, 5)",3,79,-128
130,2,0,1000,100,5,5,47,46,6,2568,7,2575,2236,"(100, 5, 5)",3,80,-44
131,2,0,1000,100,5,5,47,46,6,2568,7,2575,2236,"(100, 5, 5)",3,81,20
132,2,0,1000,100,5,5,47,46,6,2568,7,2575,2236,"(100, 5, 5)",3,82,-119
133,2,0,1000,100,5,5,47,46,6,2568,7,2575,2236,"(100, 5, 5)",3,83,-67
134,2,0,1000,100,5,5,47,46,6,2568,7,2575,2236,"(100, 5, 5)",3,84,92
135,2,0,1000,100,5,5,47,46,6,2568,7,2575,2236,"(100, 5, 5)",3,85,23
136,2,0,1000,100,5,5,47,46,6,2568,7,2575,2236,"(100, 5, 5)",3,86,-32
137,2,0,1000,100,5,5,47,46,6,2568,7,2575,2236,"(100, 5, 5)",3,87,-20
138,2,0,1000,100,5,5,47,46,6,2568,7,2575,2236,"(100, 5, 5)",3,88,-3
139,2,0,1000,100,5,5,47,46,6,2568,7,2575,2236,"(100, 5, 5)",3,89,92
140,2,0,1000,100,5,5,47,46,6,2568,7,2575,2236,"(100, 5, 5)",3,90,0
141,2,0,1000,100,5,5,47,46,6,2568,7,2575,2236,"(100, 5, 5)",3,91,-8
142,2,0,1000,100,5,5,47,46,6,2568,7,2575,2236,"(100, 5, 5)",3,92,21
143,2,0,1000,100,5,5,47,46,6,2568,7,2575,2236,"(100, 5, 5)",3,93,-83
144,2,0,1000,100,5,5,47,46,6,2568,7,2575,2236,"(100, 5, 5)",3,94,-4
145,2,0,1000,100,5,5,47,46,6,2568,7,2575,2236,"(100, 5, 5)",3,95,-94
146,2,0,1000,100,5,5,47,46,6,2568,7,2575,2236,"(100, 5, 5)",3,96,-79
147,2,0,1000,100,5,5,47,46,6,2568,7,2575,2236,"(100, 5, 5)",3,97,41
148,2,0,1000,100,5,5,47,46,6,2568,7,2575,2236,"(100, 5, 5)",3,98,63
149,2,0,1000,100,5,5,47,46,6,2568,7,2575,2236,"(100, 5, 5)",3,99,-71
150,3,0,1000,100,10,5,46,40,12,2445,25,2470,1847,"(100, 10, 5)",4,0,-1
151,3,0,1000,100,10,5,46,40,12,2445,25,2470,1847,"(100, 10, 5)",4,1,17
152,3,0,1000,100,10,5,46,40,12,2445,25,2470,1847,"(100, 10, 5)",4,2,-22
153,3,0,1000,100,10,5,46,40,12,2445,25,2470,1847,"(100, 10, 5)",4,3,57
154,3,0,1000,100,10,5,46,40,12,2445,25,2470,1847,"(100, 10, 5)",4,4,-69
155,3,0,1000,100,10,5,46,40,12,2445,25,2470,1847,"(100, 10, 5)",4,5,-22
156,3,0,1000,100,10,5,46,40,12,2445,25,2470,1847,"(100, 10, 5)",4,6,34
157,3,0,1000,100,10,5,46,40,12,2445,25,2470,1847,"(100, 10, 5)",4,7,-49
158,3,0,1000,100,10,5,46,40,12,2445,25,2470,1847,"(100, 10, 5)",4,8,6
